Country,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentional homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominal US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminal responsibility,kg per capita 2002,military expenditures %gdp
Peru,44.0,43.8,6.3,2775.0,29.1,684.0,3.9,1.2,6.53,223.0,67.8,62.15,13.2,77.7,0.0,4101.0,0.2,19.7,7.9,0.013,51.81,87.0,1150.0,2876.0,84.0,32.9,6163.0,46.5,2.21,0.762,23.5,290.0,19.60,164.0,79.9,2.7,NA,14.0,34.5,NA
Philippines,27.0,42.3,6.6,2662.0,24.1,339.0,3.2,1.51,6.56,424.0,63.8,15.66,27.3,90.1,8.0,1507.0,0.0,6.4,4.4,0.00068,49.31,85.0,85.0,2835.0,77.0,34.9,3299.0,64.1,2.49,0.699,25.3,200.0,25.55,51.0,70.4,2.5,NA,15.0,31.1,NA
Iraq,44.0,29.5,0.4,2608.0,21.2,414.0,3.5,2.78,3.62,304.0,NA,22.18,25.9,20.4,96.5,NA,0.0,30.4,10.1,10.1,NA,1.2,99172.0,2069.0,89.0,22.0,4146.0,43.4,3.54,0.686,25.3,126.0,21.40,454.0,72.4,4.7,NA,9.0,NA,NA
Morocco,46.0,39.5,0.6,3412.0,29.1,414.0,5.4,1.26,5.04,NA,62.9,54.68,21.4,34.1,99.0,3677.0,0.0,26.1,1.3,0.014,NA,1.0,1.0,3997.0,96.0,22.5,3108.0,59.5,2.35,0.683,25.7,238.0,17.10,259.0,73.0,7.3,NA,12.0,20.6,NA
Slovenia,104.0,24.4,12.6,3191.0,44.9,3237.0,4.8,0.07,7.54,18.3,65.5,235.01,2.1,99.3,3.6,NA,0.0,20.2,0.5,0.00068,108.47,68.0,NA,15249.0,47.0,25.1,25777.0,77.4,1.6,0.918,29.0,53.0,08.90,3228.0,81.3,14.0,41.0,14.0,88.0,NA
Vietnam,26.0,35.7,8.3,3025.0,31.9,497.0,4.3,1.0,2.94,16.6,55.3,16.36,19.9,76.9,0.1,24589.0,16.4,2.1,1.5,NA,66.38,8.2,1849.0,1591.0,15.0,29.8,2786.0,69.9,2.05,0.703,22.8,128.0,24.45,177.0,NA,7.2,NA,14.0,28.6,NA
Kuwait,51.0,NA,0.0,3471.0,29.7,2570.0,3.8,1.78,3.8,NA,60.8,157.66,7.9,69.5,74.6,196.0,2.8,37.9,1.8,NA,130.66,15.0,541020.0,2400.0,91.0,20.0,24809.0,95.4,2.07,0.831,27.5,117.0,27.15,502.0,81.0,2.7,NA,7.0,60.2,NA
Sri Lanka,68.0,39.3,4.3,2737.0,33.7,517.0,2.8,0.35,6.14,NA,56.4,34.98,7.1,81.0,9.7,4115.0,69.3,5.2,2.4,NA,NA,7.4,NA,603.0,97.0,28.5,3768.0,32.7,2.17,0.782,23.4,135.0,26.95,128.0,76.9,12.9,NA,12.0,6.6,NA
Croatia,89.0,28.9,8.9,3074.0,43.9,1923.0,4.6,-0.58,6.5,7.0,61.4,231.02,4.8,97.1,1.5,NA,0.0,24.4,1.0,0.011,57.3,90.1,2929.0,7075.0,70.0,34.4,13934.0,69.2,1.48,0.858,28.1,84.0,10.90,2010.0,78.6,11.0,NA,14.0,49.9,NA
Sudan,121.0,34.2,0.5,2578.0,18.3,206.0,2.2,2.38,2.54,623.0,47.7,155.2,58.4,24.3,96.0,NA,0.0,6.6,5.1,NA,NA,1.5,1489.0,13.0,93.0,NA,1415.0,27.4,4.29,0.508,22.0,52.0,26.90,27.0,69.1,4.8,NA,12.0,21.0,NA
Latvia,126.0,34.5,12.9,3229.0,44.4,1904.0,4.7,-1.03,7.24,35.3,70.4,174.11,3.6,99.9,0.15,2910.0,0.0,23.6,2.6,0.03,128.69,75.0,NA,7096.0,29.0,43.8,17871.0,84.6,1.55,0.863,30.6,175.0,05.60,1349.0,75.4,16.1,40.0,14.0,45.7,NA
Bulgaria,63.0,40.3,12.7,2854.0,43.7,1681.0,4.1,-0.67,6.71,NA,69.0,155.71,6.7,97.5,13.4,10068.0,0.0,25.0,1.0,0.014,78.84,85.0,153.0,4866.0,34.0,47.5,10058.0,65.2,1.56,0.795,26.9,109.0,10.55,956.0,75.1,6.5,NA,14.0,69.4,NA
Lebanon,220.0,31.8,1.5,2857.0,33.7,1485.0,2.5,0.57,4.16,NA,51.1,114.52,7.2,60.2,67.8,3686.0,0.2,32.0,1.9,NA,NA,39.5,NA,5373.0,87.0,40.2,9310.0,85.0,2.06,0.706,28.8,205.0,15.00,628.0,76.4,2.8,NA,7.0,63.1,NA
Belarus,66.0,24.4,11.2,3270.0,40.9,1045.0,4.8,-0.15,2.59,NA,57.9,133.73,3.2,98.6,0.75,8205.0,0.0,24.5,2.4,0.057,68.73,55.4,3670.0,,34.0,41.8,6377.0,73.6,1.38,0.808,25.3,345.0,06.15,272.0,74.8,16.5,NA,14.0,58.6,NA
Angola,41.0,51.3,6.4,2385.0,15.9,181.0,3.5,3.28,3.66,NA,50.6,12.3,74.7,27.0,0.3,22.0,0.0,8.2,4.8,NA,NA,75.0,34076.0,663.0,88.0,NA,1896.0,12.4,5.37,0.586,21.4,93.0,21.55,5.0,63.1,12.6,NA,14.0,25.0,NA
Ecuador,57.0,47.3,4.4,2606.0,28.8,935.0,5.0,1.42,6.13,NA,46.9,139.6,14.0,77.7,0.0,2854.0,0.0,19.9,7.8,0.0041,NA,94.0,26108.0,5525.0,82.0,18.4,5600.0,53.5,2.38,0.74,21.8,224.0,21.85,308.0,78.4,7.7,NA,12.0,45.0,NA
