Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Georgia,73.3,68.8,77.8,9.0,3.9,64.7,61.4,67.9,6.5,2.8,18.8,16.0,21.0,5.0,1.8,14.4,12.4,16.1,3.7,1.0,
Moldova,73.3,69.3,77.1,7.8,6.4,64.5,61.9,67.1,5.2,5.2,19.0,16.6,20.9,4.3,3.2,14.6,12.8,16.0,3.2,2.5,
Seychelles,73.3,70.0,77.1,7.1,1.4,64.0,61.9,66.4,4.5,0.9,19.5,17.5,21.5,4.0,0.5,14.1,12.7,15.4,2.7,0.2,
World,73.3,70.8,75.9,5.1,6.5,63.7,62.5,64.9,2.4,5.4,21.1,19.5,22.7,3.2,2.3,15.8,14.8,16.6,1.8,1.7,
Bahamas,73.2,69.9,76.6,6.7,2.3,64.4,62.3,66.5,4.2,1.7,20.8,19.1,22.4,3.3,0.9,16.2,14.9,17.3,2.4,0.6,
Russia,73.2,68.2,78.0,9.8,7.9,64.2,60.7,67.5,6.8,6.9,19.9,16.8,22.2,5.4,3.5,15.0,12.8,16.7,3.9,2.7,
Saint Vincent and the Grenadines,73.2,71.3,75.3,4.0,2.6,64.0,62.9,65.1,2.2,1.8,20.9,20.2,21.6,1.4,2.4,15.9,15.4,16.4,1.0,1.6,
Bhutan,73.1,72.0,74.4,2.4,7.4,63.4,63.2,63.5,0.3,6.3,19.4,18.9,19.9,1.0,1.5,14.5,14.3,14.7,0.4,1.0,
Uzbekistan,73.0,70.8,75.2,4.4,7.7,64.7,63.5,65.8,2.3,6.6,18.6,17.3,19.8,2.5,2.6,14.5,13.7,15.3,1.6,1.9,
Ukraine,73.0,68.0,77.8,9.8,5.5,64.3,60.6,67.8,7.2,4.6,19.5,16.4,21.7,5.3,2.7,15.0,12.7,16.7,4.0,2.2,
Morocco,73.0,71.7,74.3,2.6,3.7,63.7,63.7,63.7,0.0,3.0,18.7,17.7,19.6,1.9,0.3,14.1,13.7,14.6,0.9,0.0,
Grenada,72.9,70.6,75.3,4.7,0.9,63.9,62.6,65.4,2.8,0.3,18.7,17.2,20.3,3.1,0.8,14.3,13.1,15.6,2.5,0.4,
Dominican Republic,72.8,69.8,76.2,6.4,-0.4,64.0,62.1,66.1,4.0,-0.1,20.6,19.0,22.4,3.4,-1.8,16.0,14.8,17.2,2.4,-1.3,
Syria,72.7,71.2,74.3,3.1,1.2,62.9,62.5,63.3,0.8,0.1,18.7,18.2,19.3,1.1,1.1,13.9,13.8,14.2,0.4,0.5,
North Korea,72.6,69.3,75.7,6.4,8.6,65.0,63.3,66.6,3.3,7.2,19.1,16.8,20.8,4.0,3.6,14.9,13.6,15.8,2.2,2.6,
Tonga,72.6,69.8,75.6,5.8,1.7,64.0,62.7,65.5,2.8,1.1,19.0,17.0,21.2,4.2,1.0,14.5,13.3,15.7,2.4,0.7,
Iraq,72.4,69.9,75.0,5.1,3.6,62.7,61.6,63.7,2.1,3.2,19.2,17.6,20.7,3.1,0.9,14.2,13.3,15.0,1.7,0.7,
Bolivia,72.1,71.1,73.1,2.0,6.1,63.3,63.2,63.3,0.1,5.4,18.6,18.0,19.1,1.1,0.8,14.2,14.0,14.4,0.4,0.6,
Guatemala,72.0,69.0,75.0,6.0,5.2,62.3,60.5,64.1,3.6,4.5,20.5,19.4,21.4,2.0,1.4,15.0,14.4,15.5,1.1,0.9,
Honduras,71.9,70.7,73.2,2.5,1.9,63.0,62.7,63.3,0.6,1.8,18.3,17.5,19.1,1.6,-1.3,13.8,13.4,14.2,0.8,-0.9,
Egypt,71.8,69.6,74.1,4.5,2.0,63.0,62.3,63.7,1.4,1.8,17.8,16.5,19.1,2.6,-0.7,13.4,12.7,14.0,1.3,-0.5,
Suriname,71.5,68.5,74.6,6.1,1.6,62.4,60.7,64.2,3.5,1.1,18.5,16.4,20.5,4.1,-0.4,14.1,12.6,15.4,2.8,-0.4,
Azerbaijan,71.4,68.8,74.1,5.3,5.9,63.6,62.1,65.2,3.1,5.1,17.1,15.6,18.3,2.7,0.5,13.4,12.4,14.2,1.8,0.3,
Indonesia,71.3,69.4,73.3,3.9,4.1,62.8,61.9,63.8,1.9,3.8,17.9,16.7,19.1,2.4,0.3,13.4,12.7,14.0,1.3,0.4,
Nepal,70.9,68.9,72.7,3.8,5.6,61.3,60.6,62.1,1.5,5.0,18.0,16.8,19.2,2.4,0.4,13.3,12.7,13.8,1.1,0.5,
India,70.8,69.5,72.2,2.7,8.7,60.3,60.3,60.4,0.1,7.4,18.8,18.1,19.5,1.4,2.7,13.2,13.0,13.5,0.5,1.9,
Samoa,70.5,69.2,71.8,2.6,2.0,62.1,61.8,62.5,0.7,1.4,17.9,17.4,18.3,0.9,0.8,13.4,13.3,13.5,0.2,0.5,
Philippines,70.4,67.4,73.6,6.2,1.4,62.0,60.1,63.9,3.8,1.4,17.8,15.8,19.6,3.8,0.2,13.4,12.1,14.6,2.5,0.1,
Sao Tome and Principe,70.4,68.8,72.0,3.2,6.9,61.6,60.9,62.2,1.3,6.0,17.7,16.7,18.6,1.9,0.6,13.1,12.6,13.7,1.1,0.5,
Cambodia,70.1,67.2,72.7,5.5,11.4,61.5,59.8,63.0,3.2,10.1,17.7,15.9,19.1,3.2,1.9,13.2,12.0,14.1,2.1,1.4,
Turkmenistan,69.7,66.5,73.0,6.5,6.4,62.1,59.9,64.3,4.4,5.5,18.7,17.1,20.1,3.0,2.4,14.7,13.6,15.6,2.0,1.8,
Timor-Leste,69.6,67.9,71.4,3.5,6.9,60.9,59.8,62.0,2.2,7.8,17.9,16.9,18.9,2.0,0.0,13.2,12.5,13.8,1.3,0.7,
Tajikistan,69.5,67.6,71.5,3.9,3.9,62.0,60.9,63.2,2.3,3.7,16.1,15.1,17.2,2.1,-1.1,12.7,12.1,13.4,1.3,-0.9,
Myanmar,69.1,65.9,72.2,6.3,9.1,60.9,58.8,62.8,4.0,8.0,18.1,16.2,19.6,3.4,2.7,13.6,12.4,14.6,2.2,1.9,
Rwanda,69.1,66.9,71.2,4.3,21.6,60.2,59.0,61.4,2.4,19.0,18.0,16.6,19.2,2.6,4.6,13.6,12.7,14.4,1.7,3.6,
Sudan,69.1,67.6,70.8,3.2,6.6,59.9,59.6,60.3,0.7,5.6,18.6,17.8,19.4,1.6,1.3,13.6,13.3,14.0,0.7,1.0,
Ethiopia,68.7,66.9,70.5,3.6,18.1,59.9,59.0,60.8,1.8,15.6,18.4,17.4,19.4,2.0,4.3,13.9,13.3,14.4,1.1,3.3,
Senegal,68.6,66.8,70.1,3.3,10.0,59.4,58.8,59.9,1.1,8.6,18.1,17.2,18.9,1.7,1.5,13.1,12.6,13.5,0.9,1.1,
Laos,68.5,66.2,70.9,4.7,10.1,60.5,59.2,61.9,2.7,8.7,17.6,16.3,18.9,2.6,2.3,13.3,12.5,14.0,1.5,1.7,
Mauritania,68.4,68.1,68.7,0.6,6.4,59.8,60.2,59.4,-0.8,5.4,19.0,19.1,18.9,-0.2,1.9,14.3,14.6,14.1,-0.5,1.5,
Mongolia,68.1,63.8,72.8,9.0,7.6,60.3,57.1,63.8,6.7,6.5,16.4,14.2,18.5,4.3,3.0,12.6,11.0,14.2,3.2,2.3,
Fiji,68.0,65.9,70.3,4.4,2.1,59.6,58.5,60.7,2.2,1.5,16.2,14.9,17.5,2.6,1.5,11.8,11.1,12.6,1.5,0.9,
Comoros,67.4,65.9,68.9,3.0,5.9,58.9,58.3,59.6,1.3,5.1,18.1,17.4,18.8,1.4,1.8,13.7,13.2,14.1,0.9,1.4,
Tanzania,67.3,65.4,69.3,3.9,14.8,58.5,57.6,59.3,1.7,13.1,18.2,17.1,19.1,2.0,2.2,13.4,12.7,13.9,1.2,1.7,
Uganda,66.7,63.2,70.1,6.9,17.9,58.2,56.0,60.4,4.4,15.7,17.7,15.7,19.4,3.7,3.0,13.4,12.0,14.6,2.6,2.3,
Yemen,66.6,64.4,68.9,4.5,3.9,57.5,56.9,58.2,1.3,3.0,17.8,16.8,18.7,1.9,1.0,13.3,12.8,13.7,0.9,0.7,
Gabon,66.5,63.6,69.7,6.1,8.4,57.6,56.0,59.3,3.3,7.1,17.2,15.2,19.3,4.1,2.0,12.8,11.4,14.2,2.8,1.5,
Ghana,66.3,63.7,69.2,5.5,7.1,58.0,56.5,59.6,3.1,6.1,17.2,15.7,18.9,3.2,1.2,12.9,11.9,14.0,2.1,0.9,
Kenya,66.1,63.7,68.4,4.7,12.2,57.7,56.4,58.9,2.5,10.8,17.6,16.0,19.1,3.1,1.3,13.1,11.9,14.0,2.1,1.3,
